customer_id,acquisition_channel,acquisition_date,country,email_subscribed
CUST00001,meta,2024-01-28,US,True
CUST00002,meta,2024-01-20,US,False
CUST00003,meta,2024-01-03,CA,True
CUST00004,meta,2024-01-18,GB,True
CUST00005,meta,2024-01-08,DE,True
CUST00006,meta,2024-01-06,US,True
CUST00007,meta,2024-01-06,FR,True
CUST00008,meta,2024-01-21,AU,True
CUST00009,meta,2024-01-30,NL,True
CUST00010,meta,2024-01-02,GB,True
CUST00011,meta,2024-01-17,US,True
CUST00012,meta,2024-01-07,US,False
CUST00013,meta,2024-01-04,GB,True
CUST00014,meta,2024-01-05,DE,True
CUST00015,meta,2024-01-19,US,True
CUST00016,meta,2024-01-08,US,True
CUST00017,meta,2024-01-28,US,True
CUST00018,meta,2024-01-08,GB,True
CUST00019,meta,2024-01-04,GB,False
CUST00020,meta,2024-01-24,US,False
CUST00021,meta,2024-01-14,GB,True
CUST00022,meta,2024-01-17,US,True
CUST00023,meta,2024-01-29,US,True
CUST00024,meta,2024-01-03,GB,True
CUST00025,meta,2024-01-01,GB,True
CUST00026,meta,2024-01-07,FR,True
CUST00027,meta,2024-01-16,GB,False
CUST00028,meta,2024-01-21,GB,False
CUST00029,meta,2024-01-26,DE,True
CUST00030,meta,2024-01-04,US,True
CUST00031,meta,2024-01-22,GB,True
CUST00032,meta,2024-01-16,US,False
CUST00033,meta,2024-01-21,GB,False
CUST00034,meta,2024-01-02,CA,True
CUST00035,meta,2024-01-23,AU,True
CUST00036,meta,2024-01-05,US,True
CUST00037,meta,2024-01-12,US,False
CUST00038,meta,2024-01-26,GB,True
CUST00039,meta,2024-01-17,GB,True
CUST00040,meta,2024-01-04,US,True
CUST00041,meta,2024-01-26,US,True
CUST00042,meta,2024-01-18,DE,True
CUST00043,meta,2024-01-12,GB,True
CUST00044,meta,2024-01-10,GB,True
CUST00045,meta,2024-01-04,GB,False
CUST00046,meta,2024-01-23,FR,False
CUST00047,meta,2024-01-28,US,True
CUST00048,meta,2024-01-16,GB,True
CUST00049,meta,2024-01-23,US,True
CUST00050,meta,2024-01-14,US,True
CUST00051,meta,2024-01-25,GB,False
CUST00052,meta,2024-01-22,GB,True
CUST00053,meta,2024-01-14,GB,True
CUST00054,meta,2024-01-30,US,False
CUST00055,meta,2024-01-23,US,True
CUST00056,meta,2024-01-22,NL,True
CUST00057,meta,2024-01-16,US,True
CUST00058,meta,2024-01-04,US,True
CUST00059,meta,2024-01-05,US,True
CUST00060,meta,2024-01-02,GB,False
CUST00061,meta,2024-01-22,US,True
CUST00062,meta,2024-01-18,US,True
CUST00063,meta,2024-01-19,US,True
CUST00064,meta,2024-01-30,GB,True
CUST00065,meta,2024-01-04,GB,False
CUST00066,meta,2024-01-14,GB,True
CUST00067,meta,2024-01-17,GB,True
CUST00068,meta,2024-01-17,GB,False
CUST00069,meta,2024-01-07,US,True
CUST00070,meta,2024-01-16,US,True
CUST00071,meta,2024-01-07,DE,True
CUST00072,meta,2024-01-21,US,True
CUST00073,meta,2024-01-18,GB,True
CUST00074,meta,2024-01-17,NL,False
CUST00075,meta,2024-01-10,GB,True
CUST00076,meta,2024-01-08,GB,True
CUST00077,meta,2024-01-25,FR,True
CUST00078,meta,2024-01-17,AU,True
CUST00079,meta,2024-01-29,US,True
CUST00080,meta,2024-01-09,AU,True
CUST00081,meta,2024-01-22,GB,True
CUST00082,meta,2024-01-12,CA,True
CUST00083,meta,2024-01-22,GB,True
CUST00084,meta,2024-01-16,CA,False
